,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
0,01-01-2006,Sunday,45,41,50,19,73,promotion
1,02-01-2006,Monday,48,18,18,44,5,none
2,03-01-2006,Tuesday,1,40,99,41,8,none
3,04-01-2006,Wednesday,4,10,15,58,95,none
4,05-01-2006,Thursday,4,44,67,71,20,promotion
5,06-01-2006,Friday,40,27,104,39,76,promotion
6,07-01-2006,Saturday,10,21,10,26,5,none
7,08-01-2006,Sunday,20,58,59,74,68,promotion
8,09-01-2006,Monday,22,5,28,61,54,none
9,10-01-2006,Tuesday,37,43,76,72,67,promotion
10,11-01-2006,Wednesday,24,3,60,20,10,none
11,12-01-2006,Thursday,7,53,108,6,82,promotion
12,13-01-2006,Friday,25,40,48,7,29,none
13,14-01-2006,Saturday,25,20,118,28,97,promotion
14,15-01-2006,Sunday,13,53,48,26,95,promotion
15,16-01-2006,Monday,2,8,87,40,36,none
16,17-01-2006,Tuesday,39,32,33,22,69,none
17,18-01-2006,Wednesday,40,33,105,25,21,promotion
18,19-01-2006,Thursday,24,5,106,63,48,promotion
19,20-01-2006,Friday,47,53,54,50,95,promotion
20,21-01-2006,Saturday,25,28,5,52,30,none
21,22-01-2006,Sunday,18,25,30,14,37,none
22,23-01-2006,Monday,38,43,38,65,60,promotion
23,24-01-2006,Tuesday,26,56,43,20,37,none
24,25-01-2006,Wednesday,14,9,99,56,89,promotion
25,26-01-2006,Thursday,9,45,112,61,10,promotion
26,27-01-2006,Friday,10,54,103,74,79,promotion
27,28-01-2006,Saturday,21,27,22,40,52,none
28,29-01-2006,Sunday,17,39,23,56,5,none
29,30-01-2006,Monday,6,28,55,40,80,promotion
30,31-01-2006,Tuesday,16,35,63,59,10,none
31,01-02-2006,Wednesday,48,44,18,48,96,promotion
32,02-02-2006,Thursday,1,13,115,45,54,promotion
33,03-02-2006,Friday,19,48,4,16,92,none
34,04-02-2006,Saturday,36,9,19,44,20,none
35,05-02-2006,Sunday,25,41,70,55,38,promotion
36,06-02-2006,Monday,30,57,42,13,84,promotion
37,07-02-2006,Tuesday,20,46,35,4,18,none
38,08-02-2006,Wednesday,20,33,10,12,11,none
39,09-02-2006,Thursday,15,1,115,61,60,promotion
40,10-02-2006,Friday,40,48,116,33,15,promotion
41,11-02-2006,Saturday,33,18,93,2,61,promotion
42,12-02-2006,Sunday,2,13,33,64,49,none
43,13-02-2006,Monday,10,17,30,44,28,none
44,14-02-2006,Tuesday,33,54,97,24,83,promotion
45,15-02-2006,Wednesday,32,57,96,2,6,none
46,16-02-2006,Thursday,11,12,75,63,46,promotion
47,17-02-2006,Friday,24,16,10,56,5,none
48,18-02-2006,Saturday,36,29,22,51,41,none
49,19-02-2006,Sunday,12,52,62,35,99,promotion
50,20-02-2006,Monday,29,1,59,36,70,none
51,21-02-2006,Tuesday,35,47,56,65,10,promotion
52,22-02-2006,Wednesday,1,29,100,28,34,none
53,23-02-2006,Thursday,1,37,93,15,85,promotion
54,24-02-2006,Friday,37,19,10,10,41,none
55,25-02-2006,Saturday,6,18,49,12,88,none
56,26-02-2006,Sunday,39,26,43,31,44,none
57,27-02-2006,Monday,41,41,93,73,53,promotion
58,28-02-2006,Tuesday,18,26,70,19,80,promotion
59,01-03-2006,Wednesday,16,5,69,17,8,none
60,02-03-2006,Thursday,5,11,18,69,46,none
61,03-03-2006,Friday,42,34,49,15,39,none
62,04-03-2006,Saturday,43,23,113,12,49,promotion
63,05-03-2006,Sunday,32,34,65,2,25,none
64,06-03-2006,Monday,2,47,53,60,88,promotion
65,07-03-2006,Tuesday,2,19,5,72,70,none
66,08-03-2006,Wednesday,40,36,49,27,77,promotion
67,09-03-2006,Thursday,42,49,9,42,85,promotion
68,10-03-2006,Friday,36,21,104,42,13,promotion
69,11-03-2006,Saturday,39,6,50,49,93,promotion
70,12-03-2006,Sunday,12,59,89,69,36,promotion
71,13-03-2006,Monday,47,36,29,68,86,promotion
72,14-03-2006,Tuesday,19,48,58,3,6,none
73,15-03-2006,Wednesday,28,14,45,23,39,none
74,16-03-2006,Thursday,1,41,92,11,53,none
75,17-03-2006,Friday,15,40,108,45,82,promotion
76,18-03-2006,Saturday,36,31,39,7,56,none
77,19-03-2006,Sunday,13,12,69,38,66,none
78,20-03-2006,Monday,43,9,91,16,52,promotion
79,21-03-2006,Tuesday,21,58,25,66,13,none
80,22-03-2006,Wednesday,12,27,76,6,9,none
81,23-03-2006,Thursday,5,41,45,71,68,promotion
82,24-03-2006,Friday,7,32,26,27,62,none
83,25-03-2006,Saturday,5,27,55,9,37,none
84,26-03-2006,Sunday,48,51,53,73,14,promotion
85,27-03-2006,Monday,4,38,88,25,88,promotion
86,28-03-2006,Tuesday,13,20,92,49,72,promotion
87,29-03-2006,Wednesday,37,56,49,65,40,promotion
88,30-03-2006,Thursday,41,32,64,33,54,promotion
89,31-03-2006,Friday,15,7,21,60,95,none
90,01-04-2006,Saturday,16,52,20,66,37,none
91,02-04-2006,Sunday,21,38,61,32,47,none
92,03-04-2006,Monday,36,12,117,64,73,promotion
93,04-04-2006,Tuesday,24,16,12,25,75,none
94,05-04-2006,Wednesday,16,45,91,16,6,none
95,06-04-2006,Thursday,14,54,42,65,40,promotion
96,07-04-2006,Friday,22,5,42,24,3,none
97,08-04-2006,Saturday,49,36,7,59,20,none
98,09-04-2006,Sunday,6,51,98,72,58,promotion
99,10-04-2006,Monday,42,18,14,41,4,none
100,11-04-2006,Tuesday,36,45,116,42,56,promotion
101,12-04-2006,Wednesday,1,26,3,57,89,none
102,13-04-2006,Thursday,32,55,46,23,75,promotion
103,14-04-2006,Friday,6,59,73,44,87,promotion
104,15-04-2006,Saturday,31,13,30,61,2,none
105,16-04-2006,Sunday,1,1,86,15,20,none
106,17-04-2006,Monday,37,33,113,38,29,promotion
107,18-04-2006,Tuesday,35,7,96,41,30,promotion
108,19-04-2006,Wednesday,49,36,55,34,98,promotion
109,20-04-2006,Thursday,30,42,56,33,23,none
110,21-04-2006,Friday,4,41,73,60,8,none
111,22-04-2006,Saturday,35,20,51,29,9,none
112,23-04-2006,Sunday,43,36,48,48,42,promotion
113,24-04-2006,Monday,14,30,57,74,94,promotion
114,25-04-2006,Tuesday,49,43,103,63,84,promotion
115,26-04-2006,Wednesday,40,24,85,26,23,none
116,27-04-2006,Thursday,22,26,25,34,73,none
117,28-04-2006,Friday,10,21,93,35,50,promotion
118,29-04-2006,Saturday,1,45,47,38,72,promotion
119,30-04-2006,Sunday,11,9,112,18,65,promotion
120,01-05-2006,Monday,44,39,107,27,29,promotion
121,02-05-2006,Tuesday,24,23,15,51,70,none
122,03-05-2006,Wednesday,3,40,22,50,20,none
123,04-05-2006,Thursday,35,51,90,25,8,promotion
124,05-05-2006,Friday,36,54,85,68,61,promotion
125,06-05-2006,Saturday,31,16,56,25,60,none
126,07-05-2006,Sunday,4,5,97,30,39,none
127,08-05-2006,Monday,19,12,85,69,90,promotion
128,09-05-2006,Tuesday,47,27,105,74,6,promotion
129,10-05-2006,Wednesday,36,12,34,69,36,none
130,11-05-2006,Thursday,21,27,13,49,89,none
131,12-05-2006,Friday,18,13,98,38,11,none
132,13-05-2006,Saturday,28,29,72,67,61,promotion
133,14-05-2006,Sunday,15,1,10,56,74,none
134,15-05-2006,Monday,42,6,89,73,37,promotion
135,16-05-2006,Tuesday,2,58,15,46,59,none
136,17-05-2006,Wednesday,37,39,88,65,22,promotion
137,18-05-2006,Thursday,11,14,102,60,17,promotion
138,19-05-2006,Friday,23,23,6,70,46,none
139,20-05-2006,Saturday,44,25,47,13,81,promotion
140,21-05-2006,Sunday,41,27,106,60,7,promotion
141,22-05-2006,Monday,12,6,111,19,54,promotion
142,23-05-2006,Tuesday,3,19,5,28,42,none
143,24-05-2006,Wednesday,17,45,13,3,26,none
144,25-05-2006,Thursday,33,47,89,15,35,promotion
145,26-05-2006,Friday,1,29,82,7,68,none
146,27-05-2006,Saturday,39,4,79,61,23,promotion
147,28-05-2006,Sunday,20,24,56,5,94,none
148,29-05-2006,Monday,47,10,79,67,53,promotion
149,30-05-2006,Tuesday,43,52,82,67,25,promotion
150,31-05-2006,Wednesday,41,6,95,46,50,promotion
151,01-06-2006,Thursday,14,27,10,74,34,none
152,02-06-2006,Friday,31,34,38,25,89,promotion
153,03-06-2006,Saturday,25,2,2,19,39,none
154,04-06-2006,Sunday,3,33,52,15,76,none
155,05-06-2006,Monday,4,21,65,43,63,none
156,06-06-2006,Tuesday,31,58,112,33,36,promotion
157,07-06-2006,Wednesday,35,48,115,15,89,promotion
158,08-06-2006,Thursday,44,28,27,19,58,none
159,09-06-2006,Friday,14,43,12,31,8,none
160,10-06-2006,Saturday,49,13,40,56,12,none
161,11-06-2006,Sunday,41,32,42,46,1,none
162,12-06-2006,Monday,9,46,85,44,37,promotion
163,13-06-2006,Tuesday,20,28,26,23,6,none
164,14-06-2006,Wednesday,32,59,110,34,10,promotion
165,15-06-2006,Thursday,9,4,34,57,70,none
166,16-06-2006,Friday,27,52,115,6,43,promotion
167,17-06-2006,Saturday,3,21,52,21,15,none
168,18-06-2006,Sunday,4,11,119,10,87,promotion
169,19-06-2006,Monday,45,52,22,39,39,none
170,20-06-2006,Tuesday,15,10,55,18,34,none
171,21-06-2006,Wednesday,33,6,80,7,36,none
172,22-06-2006,Thursday,5,14,98,69,9,none
173,23-06-2006,Friday,4,41,113,3,96,promotion
174,24-06-2006,Saturday,46,18,1,19,3,none
175,25-06-2006,Sunday,12,59,12,57,56,none
176,26-06-2006,Monday,23,46,93,43,37,promotion
177,27-06-2006,Tuesday,14,26,34,32,61,none
178,28-06-2006,Wednesday,46,4,11,30,21,none
179,29-06-2006,Thursday,12,1,14,53,20,none
180,30-06-2006,Friday,17,55,86,51,31,promotion
181,01-07-2006,Saturday,25,15,11,60,74,none
182,02-07-2006,Sunday,30,53,104,51,21,promotion
183,03-07-2006,Monday,22,15,40,61,34,none
184,04-07-2006,Tuesday,47,24,33,36,99,promotion
185,05-07-2006,Wednesday,26,7,101,18,91,promotion
186,06-07-2006,Thursday,17,16,69,28,83,promotion
187,07-07-2006,Friday,20,6,36,34,51,none
188,08-07-2006,Saturday,34,55,73,14,36,promotion
189,09-07-2006,Sunday,41,1,88,6,63,none
190,10-07-2006,Monday,33,40,88,42,75,promotion
191,11-07-2006,Tuesday,37,8,78,54,76,promotion
192,12-07-2006,Wednesday,7,18,101,3,70,none
193,13-07-2006,Thursday,22,33,83,74,59,promotion
194,14-07-2006,Friday,32,59,64,64,93,promotion
195,15-07-2006,Saturday,14,30,47,4,76,none
196,16-07-2006,Sunday,8,32,99,62,55,promotion
197,17-07-2006,Monday,25,16,83,65,81,promotion
198,18-07-2006,Tuesday,16,12,21,45,36,none
199,19-07-2006,Wednesday,42,44,27,31,85,promotion
200,20-07-2006,Thursday,19,32,29,50,99,promotion
201,21-07-2006,Friday,41,19,13,56,77,promotion
202,22-07-2006,Saturday,16,44,18,36,4,none
203,23-07-2006,Sunday,12,39,3,65,62,none
204,24-07-2006,Monday,39,23,117,1,39,promotion
205,25-07-2006,Tuesday,48,8,37,65,72,promotion
206,26-07-2006,Wednesday,30,53,75,61,12,promotion
207,27-07-2006,Thursday,2,36,35,73,86,promotion
208,28-07-2006,Friday,32,20,40,9,86,none
209,29-07-2006,Saturday,45,6,11,2,79,none
210,30-07-2006,Sunday,25,50,52,66,12,promotion
211,31-07-2006,Monday,25,1,3,3,2,none
212,01-08-2006,Tuesday,4,44,66,16,13,none
213,02-08-2006,Wednesday,19,2,24,22,43,none
214,03-08-2006,Thursday,48,51,1,47,24,none
215,04-08-2006,Friday,4,54,75,3,70,promotion
216,05-08-2006,Saturday,43,59,69,27,49,promotion
217,06-08-2006,Sunday,13,15,21,72,38,none
218,07-08-2006,Monday,39,53,58,14,13,none
219,08-08-2006,Tuesday,36,58,6,5,52,none
220,09-08-2006,Wednesday,23,19,108,43,83,promotion
221,10-08-2006,Thursday,6,42,101,71,25,promotion
222,11-08-2006,Friday,24,7,111,43,21,promotion
223,12-08-2006,Saturday,44,37,4,63,17,none
224,13-08-2006,Sunday,33,44,110,45,16,promotion
225,14-08-2006,Monday,12,50,14,56,15,none
226,15-08-2006,Tuesday,41,33,95,24,37,promotion
227,16-08-2006,Wednesday,21,12,44,42,88,promotion
228,17-08-2006,Thursday,11,24,3,15,36,none
229,18-08-2006,Friday,44,25,34,26,21,none
230,19-08-2006,Saturday,38,51,28,15,55,none
231,20-08-2006,Sunday,29,9,6,32,11,none
232,21-08-2006,Monday,48,54,52,9,72,promotion
233,22-08-2006,Tuesday,41,20,78,23,62,promotion
234,23-08-2006,Wednesday,3,3,38,4,40,none
235,24-08-2006,Thursday,28,51,24,4,22,none
236,25-08-2006,Friday,20,29,16,46,66,none
237,26-08-2006,Saturday,26,39,75,40,11,none
238,27-08-2006,Sunday,24,57,93,2,94,promotion
239,28-08-2006,Monday,47,47,36,69,28,promotion
240,29-08-2006,Tuesday,21,44,25,43,53,none
241,30-08-2006,Wednesday,30,34,95,17,33,promotion
242,31-08-2006,Thursday,4,53,62,17,8,none
243,01-09-2006,Friday,36,14,54,34,39,none
244,02-09-2006,Saturday,40,46,109,1,47,promotion
245,03-09-2006,Sunday,10,34,88,68,55,promotion
246,04-09-2006,Monday,10,11,9,1,23,none
247,05-09-2006,Tuesday,42,52,30,6,21,none
248,06-09-2006,Wednesday,24,24,95,74,69,promotion
249,07-09-2006,Thursday,4,14,100,62,87,promotion
250,08-09-2006,Friday,47,52,75,67,33,promotion
251,09-09-2006,Saturday,27,47,111,50,65,promotion
252,10-09-2006,Sunday,45,31,26,11,84,none
253,11-09-2006,Monday,4,1,6,28,17,none
254,12-09-2006,Tuesday,32,44,110,59,44,promotion
255,13-09-2006,Wednesday,10,8,6,43,74,none
256,14-09-2006,Thursday,11,4,101,45,68,promotion
257,15-09-2006,Friday,28,47,31,39,81,promotion
258,16-09-2006,Saturday,46,1,4,13,80,none
259,17-09-2006,Sunday,8,32,12,11,82,none
260,18-09-2006,Monday,40,9,58,33,77,promotion
261,19-09-2006,Tuesday,22,4,28,16,35,none
262,20-09-2006,Wednesday,34,12,105,49,44,promotion
263,21-09-2006,Thursday,45,24,1,48,57,none
264,22-09-2006,Friday,35,21,92,31,25,promotion
265,23-09-2006,Saturday,35,2,12,23,65,none
266,24-09-2006,Sunday,25,7,37,52,49,none
267,25-09-2006,Monday,34,47,67,50,33,promotion
268,26-09-2006,Tuesday,6,5,22,41,9,none
269,27-09-2006,Wednesday,41,43,74,13,16,none
270,28-09-2006,Thursday,37,36,95,53,35,promotion
271,29-09-2006,Friday,1,48,59,13,25,none
272,30-09-2006,Saturday,12,23,28,29,85,none
273,01-10-2006,Sunday,35,31,19,52,45,none
274,02-10-2006,Monday,6,39,118,44,88,promotion
275,03-10-2006,Tuesday,17,12,111,44,48,promotion
276,04-10-2006,Wednesday,9,53,50,43,83,promotion
277,05-10-2006,Thursday,2,35,58,71,6,none
278,06-10-2006,Friday,18,56,89,55,54,promotion
279,07-10-2006,Saturday,49,4,41,25,67,none
280,08-10-2006,Sunday,36,50,52,5,53,none
281,09-10-2006,Monday,28,43,23,61,22,none
282,10-10-2006,Tuesday,41,1,115,15,92,promotion
283,11-10-2006,Wednesday,37,7,30,55,76,promotion
284,12-10-2006,Thursday,49,34,54,51,77,promotion
285,13-10-2006,Friday,26,30,41,16,63,none
286,14-10-2006,Saturday,4,22,46,49,47,none
287,15-10-2006,Sunday,40,15,51,13,14,none
288,16-10-2006,Monday,36,53,54,25,27,none
289,17-10-2006,Tuesday,31,23,81,71,44,promotion
290,18-10-2006,Wednesday,30,28,104,8,98,promotion
291,19-10-2006,Thursday,34,4,12,10,42,none
292,20-10-2006,Friday,19,50,33,53,13,none
293,21-10-2006,Saturday,18,31,105,18,39,promotion
294,22-10-2006,Sunday,30,40,58,38,19,none
295,23-10-2006,Monday,21,47,28,56,42,none
296,24-10-2006,Tuesday,3,24,13,73,28,none
297,25-10-2006,Wednesday,6,25,79,22,6,none
298,26-10-2006,Thursday,38,44,51,18,61,promotion
299,27-10-2006,Friday,13,14,61,69,11,none
